identificador,grupo,exercicio,duracao_s,n_frames,cotovelo_esq_media,cotovelo_esq_desvio,cotovelo_esq_amplitude,cotovelo_esq_velocidade,cotovelo_dir_media,cotovelo_dir_desvio,cotovelo_dir_amplitude,cotovelo_dir_velocidade,ombro_esq_media,ombro_esq_desvio,ombro_esq_amplitude,ombro_esq_velocidade,ombro_dir_media,ombro_dir_desvio,ombro_dir_amplitude,ombro_dir_velocidade,joelho_esq_media,joelho_esq_desvio,joelho_esq_amplitude,joelho_esq_velocidade,joelho_dir_media,joelho_dir_desvio,joelho_dir_amplitude,joelho_dir_velocidade,tronco_media,tronco_desvio,tronco_amplitude,tronco_velocidade
G1A-CTK-R1-Brest-022,G1A,CTK,30.0,301,72.36017072960433,62.41448210945994,178.42596011017838,109.10916212632755,74.1067837032445,62.92915775782811,179.10974122984177,102.99621331762452,38.26829806836965,38.42215031270472,177.74364910758123,100.38233823516524,36.23550301902715,35.60765679543494,174.65681739394105,68.15716914733247,174.80200005899553,2.2876791969154824,16.518713472912026,14.996753128623732,176.07734670925018,1.846726490184309,14.446754367063193,14.063966186288926,1.6566561402707813,0.6747591112834905,3.731836660446726,4.1193844126840755
G1A-CTK-R1-Brest-038,G1A,CTK,32.8,329,127.22389354310783,54.77650401299252,178.8252208107286,65.67158249724788,128.55361895083027,51.22187099393242,178.7415791273422,102.85298456740185,59.312313498078055,55.00752636654271,177.06409572842688,49.81137759696951,63.78025556067739,59.19830878083921,178.35764845914056,82.18758383406896,177.28993456190318,2.3296773117688327,19.363674438673428,12.583836974674158,177.80653185386672,1.3940822028169013,9.39386012896432,8.841426305882422,1.1994494502433446,0.5882505723828991,3.129184073415138,2.8956341419863003
G1A-CTK-R1-Brest-042,G1A,CTK,31.8,319,111.91170474154178,71.60274538213318,179.39708681363732,51.02080723673037,110.32831952301603,70.76659518063754,176.03548247024762,39.89340164481919,20.629311786168856,19.761596617298835,163.95280389524822,29.74840313822737,20.883190438694513,17.214611424985716,105.8091168700772,24.547216655819007,173.678463545835,1.5866709172181002,13.196072272626452,13.509972619310213,173.6516109121399,2.683288769035915,16.78327481134079,16.10871923663313,2.8548971916653834,0.8292957167559567,5.1929084275049915,4.424583704092799
G1A-CTK-R1-Brest-054,G1A,CTK,30.5,306,73.44558991915365,63.646982244175945,180.0,95.82762571454488,70.12832277458067,62.81226230426738,179.4915580274023,72.74095643130907,45.792621013586555,48.92624163710152,179.11445027239967,91.77806775741121,41.55702191496772,46.738599468798,179.23838585570653,133.11353771090177,172.7466165335616,2.1597486984073306,14.125319131229901,17.325657316007767,172.05017807617187,3.867650640878217,17.710596436476607,16.807937732762102,2.1278453310994605,0.7707918807390118,10.508022140232484,4.75889515536735
G1A-CTK-R1-Brest-056,G1A,CTK,29.8,299,83.58790017937281,70.53107498902489,179.46260281216328,74.42869262463944,77.77789985124937,72.29830081593789,177.02619518644462,57.76775362130702,18.183493725720645,12.311489653598317,34.76402343794406,12.552386661671562,18.027562754341176,11.413429324250552,36.92051052131857,12.712739421589035,174.22117025182493,1.385388316835195,8.550886657220786,8.129851624835474,174.50938144588275,2.02462773531501,9.267593390840915,11.316010138211505,3.139188271541497,0.9196394980270062,4.752791434257796,3.680057679251913
G1A-CTK-R1-Brest-057,G1A,CTK,30.9,310,94.64609981110583,56.7884420182996,178.95855334830406,94.41362411035476,90.98271419251653,57.09364880499513,178.11167001619907,93.77633679785237,48.865592974124894,43.315889520996876,179.01149874178648,71.49600260600343,49.60919508431136,43.92079133251576,178.7968302006604,102.3058049044869,177.7073856164875,2.570229839727765,26.36272615714367,14.826314379656163,178.52911715690988,1.717860100301401,9.787407359935315,10.968564082959588,0.6817024079179915,0.5859243615232822,2.8959250026163907,3.245218402721121
G1A-CTK-R1-Brest-061,G1A,CTK,30.2,303,74.08205865777211,65.08810371006966,180.0,42.72884131035134,75.7940251877514,65.15982586136414,177.944209703629,37.75649381980434,22.67567294946453,20.07676985256161,60.07965683109107,22.27872752623272,23.28769327866767,19.401965162585824,57.259675053102406,20.12511937162392,175.17766726222888,2.186774776083326,19.2596347163217,15.12557931601993,175.24321198076532,2.174679393350892,15.65440106657914,15.44766128926894,1.3543922913299737,0.6445085369056758,3.575123150164399,3.5932029048614664
G1A-CTK-R1-Brest-062,G1A,CTK,35.6,357,130.3341261110747,52.66084484981143,179.22460637970522,56.976945574551706,127.81605392575902,53.6607450942689,179.31661614073022,72.9928183625236,46.245826440846756,46.69089573979486,176.64051419788822,43.63336383712132,47.66756045900108,48.53077596785133,176.53404840519138,54.68171714493732,177.0912163927559,2.6734324783687664,24.7759078759739,16.557066373236733,178.1824515476714,2.3672408938813825,14.464116119433129,14.695199602910304,0.48839160848571217,0.38192459573180426,2.0428729127765806,2.765979907021072
G1A-CTK-R1-Brest-071,G1A,CTK,32.1,322,64.07995669375855,59.892966141701265,180.0,60.070613615052515,72.3135399674782,60.02098722386144,178.54960353900177,72.33987568857839,29.735313829197274,28.75847984362829,177.94781730372532,38.450105062041125,33.501511672444636,34.07626677980383,167.99003696145954,57.50796605213401,174.25069559984482,2.762425932168391,21.75679779589308,15.683295773285309,175.3356415691816,2.5012669995630485,19.00615428280642,15.286619639380937,1.3301812265741908,0.7478272260860598,3.4659515948086033,3.593733239070076
G1A-CTK-R1-Brest-073,G1A,CTK,29.1,292,97.24429373411496,59.27784964220281,178.72771786294888,93.91118404330471,96.65212436196975,57.57419528064091,178.75699419308003,80.81019746664111,49.67273611757364,42.712334246717845,171.59634791280052,65.09578528896486,52.2142263021828,47.6347672629415,177.09567410301082,64.56034675467785,176.81676511571425,2.796217680509134,18.751362152241,15.006862763476667,177.4742274111626,1.8664994042646288,10.868041254766212,12.1230558766284,1.3950754406694357,0.5590907940388347,3.129184073415138,3.315832768122525
G1A-CTK-R1-Brest-095,G1A,CTK,30.0,301,114.08720004542384,53.219660190500974,179.99999879258172,79.71768199163417,112.21013433669319,54.67828828610998,177.944722598271,62.36418797416555,57.22425978966324,47.31870510616947,173.8778010224213,70.0869611644456,55.721787654634525,47.707571835302,175.75808996990042,83.63142941005223,177.6984296458138,2.9349707804990146,31.184224532671948,17.785551549157745,178.59859016673806,2.966544359767384,45.64959558962886,12.318436476670474,0.5278298831965953,0.44924599635205414,2.8050059731737513,2.902164677438277
G1A-CTK-R1-Brest-099,G1A,CTK,29.0,291,67.94462663935586,61.85798158891166,178.2207033952906,55.785731019139845,74.30767383691028,58.446378643150084,176.1657256407642,64.5392564376849,22.669779882871236,15.509283478506154,43.9976870355575,16.564265382065102,24.51206246996908,17.670410604375853,50.25995230872247,16.287534118096396,175.5270481220504,2.5392037034676744,9.650155176253492,14.108494782384707,175.29273164259396,3.051932444495717,11.159052858518095,13.331722992515324,2.403969796201217,0.7454954931507627,4.024467484186784,4.00017369759785
G1A-CTK-R1-Brest-104,G1A,CTK,30.4,305,85.86149252665768,54.9738401411867,179.84406045547485,74.31534574513604,86.52132717295767,58.37961121027394,180.0,74.8650607875174,48.94250190572002,43.174759251214205,179.62138441778092,48.61624366600638,51.269688728738515,48.48146194455811,175.88129449482125,37.976899092034884,178.44184755624937,2.8127258850138728,22.64705067103614,13.741224385988275,178.06540878693465,2.144476787972592,20.48485634653457,11.042517230021875,1.2534680446327238,0.6681990731969674,3.2664390376336145,3.5218524506043924
G1A-CTK-R1-Brest-108,G1A,CTK,29.8,299,114.62080899030519,56.736329422831034,179.90453747057478,88.47674373772895,115.06835848366161,57.16320898703871,179.84406166289781,82.58586992490983,55.094437851535325,51.36303031586723,179.36040254729693,92.34154202076896,57.396107793059194,54.29792228654506,178.31423277012158,75.84237006280625,177.604445093442,2.432651663675267,19.847474586869737,14.13378786518246,178.27291545660938,1.6428968729539908,15.452738173553257,11.675460448074972,1.2036185480890635,0.7545295593906917,3.1963402854373517,3.4020093931728907
G1A-CTK-R2-Brest-008,G1A,CTK,32.4,325,100.35616046109065,38.74371438120411,176.80979235301734,51.77412743177632,98.7169010809892,37.42284959194278,178.2786441002853,66.44140673119199,29.642593960026467,32.18104509236914,85.72288578428005,19.60978102664255,29.75648870522276,30.429817088305416,84.93340225618188,19.47456491017316,170.3658626953576,1.7052214615207437,9.385436129871408,7.378479837054267,170.60023120347088,1.4257225948544692,9.470972354122352,6.41926799048227,1.8706549685236895,0.575820261047049,3.226085512727647,3.762940237582721
G1A-CTK-R2-Brest-014,G1A,CTK,29.7,298,112.66171030330811,53.33882595133049,174.40646320572702,82.56809089184017,86.54011839092809,54.65561894633187,175.71694761350096,79.36406983114605,24.96299035240622,18.697536822009244,56.81294101079727,18.01615792407784,28.452705539624663,27.805909962286595,77.50463222800258,19.27065141604824,171.9357045477616,1.3566354046914806,9.157628565254441,6.080269568246466,172.62905206158345,1.117525203509368,5.606846018799615,4.881609630626304,2.136309002381523,0.3936334722607291,2.1664505016500524,2.434025748349314
G1A-CTK-R2-Brest-020,G1A,CTK,30.2,303,96.25444651047641,46.757797812324284,179.0779774652919,58.36341871614117,95.08130604062629,42.58819601741103,174.91224218989484,47.56793655835554,35.78947510466197,31.56447402481606,86.18522768407125,23.468160914003498,37.50408069298672,30.406871772417936,89.43209490194246,21.197897254841024,176.8046137097381,1.6755586193893985,7.45929365010943,7.124505831883038,176.3451670339457,1.5032000219561192,8.653548711425174,6.578368922448725,1.2517157520051776,0.5910904852602539,2.6276267276294294,2.69232881034564
G1A-CTK-R2-Brest-024,G1A,CTK,34.3,344,82.2395831277248,48.736869883447696,164.6438821730154,56.49571770045877,82.85561886289906,45.705153899943454,165.8050384656075,76.57225455481834,40.609180658343476,30.90955241437891,82.51587962607033,26.425683587353742,41.324164609823264,31.98832368027852,81.69567654519525,20.780674585421032,174.78570546999586,1.1151943646525218,7.475351798500299,5.190270230469592,174.05549695387032,1.2638757379101744,7.43207728732628,6.991382240046685,1.929539996934464,0.5303287766334067,2.917634986546773,2.7954652025102495
G1A-CTK-R2-Brest-030,G1A,CTK,30.2,303,110.07763305716185,52.25048431346067,178.96571231241379,71.17452913629579,95.76729127250266,56.03113661972575,172.9784210255898,48.34003525648726,24.084056841875622,20.28851913423159,58.54393212119459,19.353991011369704,29.295927561962905,26.818900155725267,75.06260445281195,19.929259840913854,170.66505420664853,1.2717988032086651,5.966485889447,5.088335157482834,172.07826602094053,1.2278414425797353,6.897934203327594,4.564527882656099,1.8593790081025747,0.45489592942287527,2.852844454212285,2.274755386772928
G1A-CTK-R2-Brest-032,G1A,CTK,31.4,315,87.96069621284113,44.42743456401631,179.32747808604972,52.44312096473234,89.88914507271683,39.72423879813874,168.25829163730444,43.17438439830343,29.34424779725079,25.940773691578606,77.71322854770236,20.65796864291721,34.076367253594185,26.965788527018297,78.08980218356035,16.520930879120424,177.19161329908803,2.1706143765184844,11.056217236943809,6.079176380203787,176.48826406463047,2.4291494833113507,32.34463039328236,8.302096908178932,1.1043577546846823,0.5244675737853608,2.6549588769771484,2.5394186037462063
G1A-CTK-R2-Brest-036,G1A,CTK,33.4,335,102.3534965864278,42.82586834040411,177.79257646606717,61.39066626373973,105.03450637820028,40.64732976562445,177.8374521246625,89.5695946277614,30.66353616273366,33.32619122602013,84.92214054450645,20.36835489715909,31.446450421071983,33.190931457418486,90.77285806609132,22.250066140766165,169.6611562909372,2.2150263784309145,25.155388551532837,7.402395222964778,170.54482896966982,1.318066885064477,6.659920033524486,6.489977047218858,1.956338279275881,0.5427525912014267,2.877201107059033,3.2531600307247666
G1A-CTK-R2-Brest-048,G1A,CTK,30.8,309,109.42583957785735,52.45979114216153,174.89013656375772,118.37943200665732,85.8881306659046,54.84492966811867,175.36642697483384,83.11797174107926,23.930927948214883,18.56360607791227,55.029647885870396,19.81435152896021,26.860554309654205,24.484193274641573,68.3930192124542,19.751349536686284,171.06939261198218,1.3408716775056917,7.579705391510089,5.64819617078725,172.5747777863934,0.8576450046247438,4.5927503248058485,4.521975240301152,2.058448590121187,0.4636835885050674,2.753177212156442,2.445724043854817
G1A-CTK-R2-Brest-055,G1A,CTK,31.3,314,86.83541059766554,56.08080046669528,178.89929883233324,34.63270128308313,86.93812182032363,44.66668716814778,163.15986436108307,31.468452054898872,25.536555772863544,20.86347473110917,59.24306633501263,23.88027137949312,33.25727592713373,26.63493000824472,78.82346904109808,20.48221557788729,176.84481744378996,2.4069636903975598,23.77032531840723,9.010217059825832,176.7760666083587,1.9674795504198241,10.124523532444158,8.195434022334183,0.9491344212624389,0.5270819722566945,2.284260600413507,2.282168543997887
G1A-CTK-R2-Brest-065,G1A,CTK,28.6,287,75.79718456723619,52.67503142499293,167.69194551537296,60.746047652919906,76.18554934287519,50.567467204426876,165.9446896772093,60.893348452550306,33.996675606002114,28.522374279832505,79.63181344857885,17.574146190417924,32.720277150830874,26.664340374650955,73.11238239753852,19.435890887108442,176.79530335991876,1.8450744235889867,19.383221385430517,7.767476087389427,173.0023651569982,1.8376758025986133,20.47701761517871,9.257861886100356,1.6782302411683003,0.563740276203984,3.9810798809136156,3.109513736304921
